test_name task_name gold_standard_file coverage model model_configuration metric score_value
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=100 accuracy 0.961111111111111
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1000 accuracy 0.9579629629629628
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 NB - accuracy 0.8573333333333336
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 KNN K=3 accuracy 0.885
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 C45 - accuracy 0.7317777777777777
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.001 accuracy 0.8029999999999997
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.01 accuracy 0.8029999999999997
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.1 accuracy 0.8856666666666669
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1.0 accuracy 0.9518888888888888
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=10.0 accuracy 0.962111111111111
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=100 accuracy 0.962111111111111
./experiment_qtwalk/ikgrc_rdfstar2vec_0.3_1.0_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1000 accuracy 0.962111111111111
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 NB - accuracy 0.8327777777777777
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 KNN K=3 accuracy 0.7814814814814814
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 C45 - accuracy 0.704074074074074
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.001 accuracy 0.8514814814814814
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.01 accuracy 0.8514814814814814
